SA1_CODE21,2025_supply,2026_supply,2027_supply,2028_supply,2029_supply,2030_supply,2031_supply,2032_supply,2033_supply,2034_supply,2035_supply,2036_supply,2037_supply,2038_supply,2039_supply,2040_supply,2041_supply,2042_supply,2043_supply,2044_supply,2045_supply,2025_demand,2026_demand,2027_demand,2028_demand,2029_demand,2030_demand,2031_demand,2032_demand,2033_demand,2034_demand,2035_demand,2036_demand,2037_demand,2038_demand,2039_demand,2040_demand,2041_demand,2042_demand,2043_demand,2044_demand,2045_demand
11701132103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.967,21.778,21.786,21.841,21.728,21.669,21.618,21.601,21.602,21.603,21.652,21.682,21.736,21.801,21.876,21.932,21.993,22.028,22.048,22.055,22.025
11701132106,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,30.371,30.109,30.302,30.612,31.193,32.187,33.213,34.417,35.67,36.962,38.351,39.665,40.817,41.623,42.215,42.644,43.007,43.248000000000005,43.421,43.535,43.563
11701132111,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,63.441,63.27,63.95399999999999,64.768,65.017,65.846,66.455,67.28200000000001,68.02199999999999,68.658,69.307,69.821,70.294,70.704,71.137,71.578,72.099,72.59,73.10900000000001,73.668,74.181
11701132112,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,27.165,26.938,27.116,27.399,27.14,27.061,27.018,27.119999999999997,27.256,27.416,27.639000000000003,27.839,28.074,28.489,28.974,29.444000000000003,29.871,30.214999999999996,30.513,30.769999999999996,30.965
11701132117,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,30.156999999999996,29.895000000000003,29.933,30.006,30.436,31.115,31.858000000000004,32.723,33.572,34.466,35.451,36.379,37.222,37.682,38.031,38.31,38.549,38.733,38.837999999999994,38.901,38.891
11701132119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.339,40.916,40.86,40.876000000000005,40.683,40.569,40.512,40.513,40.554,40.599,40.733,40.833,40.973,41.131,41.32,41.488,41.655,41.768,41.844,41.893,41.869
11701132120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599,0.598,0.605,0.613,0.614,0.622,0.629,0.636,0.643,0.649,0.655,0.6599999999999999,0.665,0.669,0.6699999999999999,0.669,0.667,0.6659999999999999,0.665,0.6639999999999999,0.663
11701132122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11701132123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11701132131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.937,22.74,22.747,22.804,22.687,22.626,22.571,22.555,22.554,22.555999999999997,22.607,22.639,22.695,22.762,22.878,23.031,23.187,23.318,23.432,23.533,23.595
