Year,Supply (no. approved places as at May 25),Demand (no. 0-4 year olds over time),Gap,SCORE
2025,900,800,-100,5
2026,900,810,-90,10
2027,900,820,-80,14
2028,900,830,-70,19
2029,900,840,-60,24
2030,900,850,-50,29
2031,900,860,-40,33
2032,900,870,-30,38
2033,900,880,-20,43
2034,900,890,-10,48
2035,900,900,0,52
2036,900,910,10,57
2037,900,920,20,62
2038,900,930,30,67
2039,900,940,40,71
2040,900,950,50,76
2041,900,960,60,81
2042,900,970,70,86
2043,900,980,80,90
2044,900,990,90,95
2045,900,1000,100,100
2046,900,1010,110,100
