Year,Supply (no. approved places as at May 25),Demand (no. 0-4 year olds over time),Gap,SCORE
2025,200,300,100,100
2026,250,310,60,81
2027,250,320,70,86
2028,250,330,80,90
2029,250,340,90,95
2030,250,360,110,100
2031,250,390,140,100
2032,250,450,200,100
2033,250,450,200,100
2034,250,420,170,100
2035,250,410,160,100
2036,250,400,150,100
2037,250,390,140,100
2038,250,390,140,100
2039,250,380,130,100
2040,250,360,110,100
2041,250,340,90,95
2042,250,320,70,86
2043,250,280,30,67
2044,250,250,0,52
2045,250,200,-50,29
2046,250,180,-70,19
